dataset  ,experiment ,coarsening_ratio ,coarsen_features ,coarsen_train_labels ,coarsen_train_mask ,coarsen_val_labels ,coarsen_val_mask ,coarsen_edge ,data_x      ,data_y  ,data_edge_index ,total_size  ,acc_10              ,acc_9               ,acc_8               ,acc_7               ,acc_6               ,acc_5               ,acc_4               ,acc_3               ,acc_2              ,acc_1               ,ave_acc             ,std_acc
pubmed   ,fixed      ,             0.0 ,          800000 ,                1600 ,              1600 ,              1600 ,            1600 ,       13440 ,  788680000 ,1577360 ,       14183680 ,  805260880 ,0.18                ,0.18                ,0.18                ,0.18                ,0.18                ,0.18                ,0.18                ,0.18                ,0.18               ,0.18                ,0.17999999999999997 ,2.7755575615628914e-17
pubmed   ,fixed      ,             0.1 ,        78880000 ,              157760 ,            157760 ,            157760 ,          157760 ,     4883840 ,  788680000 ,1577360 ,       14183680 ,  888835920 ,0.776               ,0.776               ,0.776               ,0.776               ,0.776               ,0.776               ,0.776               ,0.776               ,0.778              ,0.779               ,0.77228             ,0.0037042678088928757
pubmed   ,fixed      ,             0.3 ,       236680000 ,              473360 ,            473360 ,            473360 ,          473360 ,     7689920 ,  788680000 ,1577360 ,       14183680 , 1050704400 ,0.78                ,0.781               ,0.781               ,0.781               ,0.781               ,0.782               ,0.783               ,0.783               ,0.783              ,0.784               ,0.77644             ,0.004703870746523552
pubmed   ,fixed      ,             0.5 ,       394360000 ,              788720 ,            788720 ,            788720 ,          788720 ,     9116160 ,  788680000 ,1577360 ,       14183680 , 1211072080 ,0.797               ,0.798               ,0.798               ,0.798               ,0.798               ,0.8                 ,0.8                 ,0.8                 ,0.8                ,0.801               ,0.7926200000000001  ,0.005063161067949551
pubmed   ,fixed      ,             0.7 ,       552080000 ,             1104160 ,           1104160 ,           1104160 ,         1104160 ,    10739840 ,  788680000 ,1577360 ,       14183680 , 1371677520 ,0.798               ,0.798               ,0.799               ,0.799               ,0.8                 ,0.8                 ,0.8                 ,0.801               ,0.802              ,0.803               ,0.79134             ,0.007755282070950103
dblp     ,random     ,             0.0 ,         9702880 ,                5920 ,              5920 ,              5920 ,            5920 ,       22400 , 2322921920 ,1417280 ,       16917440 , 2351005600 ,0.3413450559488468  ,0.3459123087462891  ,0.3531628225622288  ,0.3801096140671386  ,0.3855903174240694  ,0.3865608586435259  ,0.38878739438227905 ,0.3923841059602649  ,0.4283512217401233 ,0.43383192509705415 ,0.2674058004110528  ,0.0889853190692305
dblp     ,random     ,             0.1 ,       219494880 ,              133920 ,            133920 ,            133920 ,          133920 ,     5176000 , 2322921920 ,1417280 ,       16917440 , 2566463200 ,0.7609614067138616  ,0.7622744918931262  ,0.7634733957524549  ,0.7682690111897693  ,0.7683831925097054  ,0.7702100936286823  ,0.7742064398264444  ,0.7763758849052295  ,0.7777460607444622 ,0.7814569536423841  ,0.7401918246174927  ,0.022186881923354062
dblp     ,random     ,             0.3 ,       644061440 ,              392960 ,            392960 ,            392960 ,          392960 ,     8757120 , 2322921920 ,1417280 ,       16917440 , 2995647040 ,0.7563941539164193  ,0.7590774149349166  ,0.7591915962548527  ,0.7592486869148207  ,0.763815939712263   ,0.7644439369719114  ,0.765757022151176   ,0.7661566567709522  ,0.773521351906828  ,0.7737497145467002  ,0.7320723909568394  ,0.02443902918391777
dblp     ,random     ,             0.5 ,      1070725920 ,              653280 ,            653280 ,            653280 ,          653280 ,    10254720 , 2322921920 ,1417280 ,       16917440 , 3424850400 ,0.7365266042475451  ,0.73812514272665    ,0.7384676866864581  ,0.7435487554236127  ,0.7448047499429093  ,0.7472596483215346  ,0.7502283626398721  ,0.753882164877826   ,0.7542817994976022 ,0.7646722996117835  ,0.7143263302123773  ,0.025603851784889345
dblp     ,random     ,             0.7 ,      1496079200 ,              912800 ,            912800 ,            912800 ,          912800 ,    12340160 , 2322921920 ,1417280 ,       16917440 , 3853327200 ,0.7392669559260105  ,0.7411509477049555  ,0.7516556291390728  ,0.752055263758849   ,0.7525690796985613  ,0.753882164877826   ,0.7609043160538936  ,0.765757022151176   ,0.7660424754510162 ,0.7707810002283626  ,0.7175919159625486  ,0.02443986703014228
Physics  ,random     ,             0.0 ,        23562000 ,                2800 ,              2800 ,              2800 ,            2800 ,       15040 ,23220687600 ,2759440 ,       79347840 ,23326383120 ,0.24656134100400082 ,0.2604035861343924  ,0.3233361562947172  ,0.33256431971497824 ,0.3338492538621032  ,0.37152118681190316 ,0.44163770697660837 ,0.515170983850714   ,0.5555588003387554 ,0.6782116052915924  ,0.18042811669538295 ,0.13270698688654017
Physics  ,random     ,             0.1 ,      2322540000 ,              276000 ,            276000 ,            276000 ,          276000 ,    23849920 ,23220687600 ,2759440 ,       79347840 ,25650288800 ,0.8922991560318897  ,0.8929124200566539  ,0.8932336535934352  ,0.896884034693222   ,0.8984025932307332  ,0.8987238267675145  ,0.901060070671378   ,0.9024034109160997  ,0.9079227871389773 ,0.909674970066875   ,0.870822065823672   ,0.02130745230411772
Physics  ,random     ,             0.3 ,      6966273600 ,              827840 ,            827840 ,            827840 ,          827840 ,    35721280 ,23220687600 ,2759440 ,       79347840 ,30308101120 ,0.9313436322752096  ,0.9315772566655959  ,0.9331834243495021  ,0.9333002365446953  ,0.9333586426422918  ,0.9343223432526355  ,0.9348187950822066  ,0.9355488713021639  ,0.9366877902052975 ,0.938031130450019   ,0.9213147212568993  ,0.012137614926448203
Physics  ,random     ,             0.5 ,     11610680400 ,             1379760 ,           1379760 ,           1379760 ,         1379760 ,    43867520 ,23220687600 ,2759440 ,       79347840 ,34962861840 ,0.9360453231317349  ,0.9363081505709197  ,0.936454165814911   ,0.9369214145956838  ,0.9373594603276582  ,0.9375346786204479  ,0.9405425926466723  ,0.9406302017930672  ,0.9411266536226383 ,0.9446018164296353  ,0.9265811990771836  ,0.011391617627410006
Physics  ,random     ,             0.7 ,     16255087200 ,             1931680 ,           1931680 ,           1931680 ,         1931680 ,    55128000 ,23220687600 ,2759440 ,       79347840 ,39620736800 ,0.9381187395964139  ,0.9385567853283883  ,0.9396957042315218  ,0.9398417194755132  ,0.9401045469146979  ,0.9406302017930672  ,0.9415062932570161  ,0.942586806062553   ,0.9438717402096779 ,0.9455655170399789  ,0.9298350027742895  ,0.01002003988521609
cora     ,few        ,             0.0 ,         2178160 ,                1520 ,              1520 ,              1520 ,            1520 ,        4160 ,  310445120 , 216640 ,        1688960 ,  314539120 ,0.3062926459438969  ,0.3062926459438969  ,0.3066717210007581  ,0.3070507960576194  ,0.30742987111448067 ,0.30742987111448067 ,0.310841546626232   ,0.31956027293404093 ,0.3203184230477635 ,0.32752084912812734 ,0.1646626231993935  ,0.09466386582635507
cora     ,few        ,             0.1 ,        30723520 ,               21440 ,             21440 ,             21440 ,           21440 ,      309760 ,  310445120 , 216640 ,        1688960 ,  343469760 ,0.7210007581501138  ,0.7225170583775588  ,0.7232752084912812  ,0.7232752084912812  ,0.7285822592873389  ,0.7323730098559514  ,0.7426080363912054  ,0.7479150871872631  ,0.765352539802881  ,0.7717968157695224  ,0.6801213040181955  ,0.05557733471288896
cora     ,few        ,             0.3 ,        86553200 ,               60400 ,             60400 ,             60400 ,           60400 ,      671680 ,  310445120 , 216640 ,        1688960 ,  399817200 ,0.7388172858225929  ,0.740333586050038   ,0.7410917361637605  ,0.7414708112206216  ,0.7426080363912054  ,0.7479150871872631  ,0.7498104624715694  ,0.7517058377558756  ,0.7520849128127369 ,0.7748294162244125  ,0.7076118271417741  ,0.03243805664042531
cora     ,few        ,             0.5 ,       145707440 ,              101680 ,            101680 ,            101680 ,          101680 ,      941760 ,  310445120 , 216640 ,        1688960 ,  459406640 ,0.7319939347990903  ,0.7391963608794542  ,0.7407126611068992  ,0.7460197119029568  ,0.7475360121304018  ,0.7505686125852918  ,0.7543593631539045  ,0.756633813495072   ,0.7577710386656558 ,0.7695223654283548  ,0.6877407126611069  ,0.05157827393948871
cora     ,few        ,             0.7 ,       203142080 ,              141760 ,            141760 ,            141760 ,          141760 ,     1218560 ,  310445120 , 216640 ,        1688960 ,  517278400 ,0.714177407126611   ,0.7210007581501138  ,0.721379833206975   ,0.7319939347990903  ,0.7327520849128127  ,0.7357846853677028  ,0.7376800606520091  ,0.7380591357088704  ,0.7384382107657316 ,0.7460197119029568  ,0.6723578468536769  ,0.04822165150965367
citeseer ,few        ,             0.0 ,        22514240 ,                6080 ,              6080 ,              6080 ,            6080 ,       20160 ,  985590480 , 266160 ,        1456640 , 1009872000 ,0.28588919498010407 ,0.2913988368533823  ,0.29660238751147844 ,0.3076216712580349  ,0.3143556779920416  ,0.3192531374349556  ,0.3440465258647077  ,0.3559840832568105  ,0.3633302724211815 ,0.37220691766146313 ,0.21881236608509336 ,0.07333932766210347
citeseer ,few        ,             0.1 ,        85317120 ,               23040 ,             23040 ,             23040 ,           23040 ,      190720 ,  985590480 , 266160 ,        1456640 , 1072913280 ,0.6434037343128253  ,0.6446280991735537  ,0.6464646464646465  ,0.6476890113253749  ,0.660238751147842   ,0.6620752984389348  ,0.672482399755127   ,0.6727884909703091  ,0.6767676767676768 ,0.6920722375267829  ,0.585840220385675   ,0.06510572120015314
citeseer ,few        ,             0.3 ,       212404080 ,               57360 ,             57360 ,             57360 ,           57360 ,      433600 ,  985590480 , 266160 ,        1456640 , 1200380400 ,0.6320783593510866  ,0.6360575451484543  ,0.6424854606672789  ,0.6464646464646465  ,0.6476890113253749  ,0.6495255586164677  ,0.6507499234771962  ,0.6513621059075605  ,0.6535047444138353 ,0.6669727578818488  ,0.5775451484542393  ,0.0582952100701007
citeseer ,few        ,             0.5 ,       343342160 ,               92720 ,             92720 ,             92720 ,           92720 ,      627840 ,  985590480 , 266160 ,        1456640 , 1331654160 ,0.6277930823385369  ,0.6342209978573615  ,0.6360575451484543  ,0.6440159167431895  ,0.6458524640342822  ,0.6486072849709213  ,0.662381389654117   ,0.6648301193755739  ,0.667278849097031  ,0.6758494031221304  ,0.5909335782063055  ,0.04864085436094063
citeseer ,few        ,             0.7 ,       467170480 ,              126160 ,            126160 ,            126160 ,          126160 ,      833920 ,  985590480 , 266160 ,        1456640 , 1455822320 ,0.6134067952249771  ,0.6140189776553413  ,0.6155494337312519  ,0.6238138965411693  ,0.6271808999081726  ,0.6342209978573615  ,0.6409550045913682  ,0.6464646464646465  ,0.655035200489746  ,0.6632996632996633  ,0.5674380165289257  ,0.054505200892943285
pubmed   ,few        ,             0.0 ,          800000 ,                1600 ,              1600 ,              1600 ,            1600 ,       13440 ,  788680000 ,1577360 ,       14183680 ,  805260880 ,0.4107278915020064  ,0.41204855996342765 ,0.414740691827094   ,0.4156042058211002  ,0.42743942703306753 ,0.43033473866002947 ,0.4461319652562605  ,0.46538324782851626 ,0.4688373038045411 ,0.4953014679737898  ,0.2985269467161071  ,0.10228662997264544
pubmed   ,few        ,             0.1 ,        78880000 ,              157760 ,            157760 ,            157760 ,          157760 ,     4883840 ,  788680000 ,1577360 ,       14183680 ,  888835920 ,0.7330217910296134  ,0.7347488190176259  ,0.7468888098745365  ,0.7487682226850205  ,0.7495809417382029  ,0.7507492253771524  ,0.7617209325951135  ,0.7647686290445471  ,0.7655813480977295 ,0.7690861990145782  ,0.6823040585157719  ,0.06636170064992471
pubmed   ,few        ,             0.3 ,       236680000 ,              473360 ,            473360 ,            473360 ,          473360 ,     7689920 ,  788680000 ,1577360 ,       14183680 , 1050704400 ,0.7184944379539798  ,0.7261644740183878  ,0.7262660639000356  ,0.7278915020064002  ,0.7295169401127648  ,0.7297201198760603  ,0.7331741758520851  ,0.7543556661756489  ,0.7577081322700259 ,0.7794483669426525  ,0.6786437750800022  ,0.0502541078304826
pubmed   ,few        ,             0.5 ,       394360000 ,              788720 ,            788720 ,            788720 ,          788720 ,     9116160 ,  788680000 ,1577360 ,       14183680 , 1211072080 ,0.7091989637832072  ,0.7099100929547417  ,0.7119926855285214  ,0.7227612129831869  ,0.723675521918017   ,0.7240310865037842  ,0.7286026311779347  ,0.7330217910296134  ,0.7444506527149896 ,0.7547112307614161  ,0.6632498603139128  ,0.050119072359647986
pubmed   ,few        ,             0.7 ,       552080000 ,             1104160 ,           1104160 ,           1104160 ,         1104160 ,    10739840 ,  788680000 ,1577360 ,       14183680 , 1371677520 ,0.7196119266521055  ,0.7237263168588408  ,0.7245390359120232  ,0.72697719307157    ,0.7356631279524559  ,0.7389140041651852  ,0.7451109869457002  ,0.7497841215014984  ,0.7510032000812719 ,0.7748260273276781  ,0.6836938080967134  ,0.041996193781796406
dblp     ,few        ,             0.0 ,         4064720 ,                2480 ,              2480 ,              2480 ,            2480 ,       10880 , 2322921920 ,1417280 ,       16917440 , 2345342160 ,0.3332201855623444  ,0.35737723466847704 ,0.3620162932790224  ,0.36427924869880063 ,0.4474994342611451  ,0.4557592215433356  ,0.4943426114505544  ,0.5769404842724598  ,0.6071509391264992 ,0.6252545824847251  ,0.24763294863091198 ,0.1414861659568377
dblp     ,few        ,             0.1 ,       214905680 ,              131120 ,            131120 ,            131120 ,          131120 ,     5169280 , 2322921920 ,1417280 ,       16917440 , 2561856080 ,0.7195632496039828  ,0.7246548992984838  ,0.7264086897488119  ,0.7303688617334239  ,0.7309346005883685  ,0.7361393980538583  ,0.7466055668703326  ,0.7482462095496719  ,0.7500565738854944 ,0.7580334917402127  ,0.6566202760805611  ,0.06844620297118734
dblp     ,few        ,             0.3 ,       638685520 ,              389680 ,            389680 ,            389680 ,          389680 ,     8746560 , 2322921920 ,1417280 ,       16917440 , 2990247440 ,0.69438787055895    ,0.6985743380855397  ,0.7034396922380629  ,0.7114731839782756  ,0.7120954967187146  ,0.7158859470468432  ,0.7172437202987101  ,0.7182620502376104  ,0.7282190540846345 ,0.756449422946368   ,0.6397612582032134  ,0.06681502445034916
dblp     ,few        ,             0.5 ,      1063252080 ,              648720 ,            648720 ,            648720 ,          648720 ,    10244160 , 2322921920 ,1417280 ,       16917440 , 3417347760 ,0.6743607150939126  ,0.679735234215886   ,0.6836954062004978  ,0.6901448291468658  ,0.6971034170626839  ,0.7054197782303688  ,0.7078524553066304  ,0.7211473183978275  ,0.7211473183978275 ,0.7495474089160443  ,0.6207433808553973  ,0.06031467014689642
dblp     ,few        ,             0.7 ,      1489129840 ,              908560 ,            908560 ,            908560 ,          908560 ,    12329600 , 2322921920 ,1417280 ,       16917440 , 3846350320 ,0.6492984838198688  ,0.6515614392396469  ,0.6520140303236026  ,0.6558044806517311  ,0.6773591310251188  ,0.6786037565059968  ,0.709153654673003   ,0.7216564833672776  ,0.7269178547182621 ,0.741061326091876   ,0.5981885041864675  ,0.06201138515314912
Physics  ,few        ,             0.0 ,        23562000 ,                2800 ,              2800 ,              2800 ,            2800 ,       15040 ,23220687600 ,2759440 ,       79347840 ,23326383120 ,0.4224370699416427  ,0.4264436895740789  ,0.42882443457306274 ,0.4889527625352031  ,0.4890108294863978  ,0.48912696338878725 ,0.48912696338878725 ,0.5195830792904218  ,0.5196121127660193 ,0.8905147635223413  ,0.20974189240193944 ,0.17202684982945615
Physics  ,few        ,             0.1 ,      2322540000 ,              276000 ,            276000 ,            276000 ,          276000 ,    23849920 ,23220687600 ,2759440 ,       79347840 ,25650288800 ,0.8676363847516186  ,0.874691519321778   ,0.8768109630403855  ,0.8811079174287954  ,0.8813401852335743  ,0.8888598554132915  ,0.8910083326074965  ,0.8933890776064802  ,0.8966698603489823 ,0.9108381964404959  ,0.8332166187614318  ,0.04916500442136323
Physics  ,few        ,             0.3 ,      6966273600 ,              827840 ,            827840 ,            827840 ,          827840 ,    35721280 ,23220687600 ,2759440 ,       79347840 ,30308101120 ,0.9220741514966757  ,0.9227128879598177  ,0.9241064947884912  ,0.9279389135673431  ,0.9283163487501088  ,0.9283744157013036  ,0.929768022529977   ,0.9318874662485847  ,0.9324681357605319 ,0.9410910780129489  ,0.8891861916790057  ,0.040056356369659346
Physics  ,few        ,             0.5 ,     11610680400 ,             1379760 ,           1379760 ,           1379760 ,         1379760 ,    43867520 ,23220687600 ,2759440 ,       79347840 ,34962861840 ,0.9273001771042011  ,0.9277937461893563  ,0.9285776500304852  ,0.9286066835060826  ,0.9286937839328746  ,0.930000290334756   ,0.9313067967366373  ,0.9348779142351131  ,0.936707023197747  ,0.9367941236245391  ,0.8966605696367913  ,0.04090160013642299
Physics  ,few        ,             0.7 ,     16255087200 ,             1931680 ,           1931680 ,           1931680 ,         1931680 ,    55128000 ,23220687600 ,2759440 ,       79347840 ,39620736800 ,0.9160642220480214  ,0.9172545945475132  ,0.9195192056441076  ,0.9215515489359232  ,0.9219870510698835  ,0.9230612896669861  ,0.9235548587521413  ,0.9244839299712568  ,0.9252388003367883 ,0.9276776122869669  ,0.8959382167639289  ,0.022914440286726845
