dataset,hidden,runs,num_layers,lr,avg_time,top_10_loss,best_loss
chameleon,512,20,2,0.01,0,0.5430588032164734 +/- 0.008819549294190777,0.527127460376401
squirrel,512,20,2,0.01,0,0.6465788836954502 +/- 0.006697435675701982,0.6362052323162326
crocodile,512,20,2,0.01,0,0.3806413049825311 +/- 0.005459667897680812,0.37368957030948646
chameleon,512,20,2,0.01,0,0.561674196424103 +/- 0.005180878337857609,0.550476230805993
squirrel,512,20,2,0.01,0,0.6524517532761576 +/- 0.003095418681348107,0.6489266371959453
crocodile,512,20,2,0.01,0,0.38438644795004046 +/- 0.00471195254868918,0.37574620122520636
chameleon,512,20,2,0.01,0.002548110485076904,0.5485907103850691 +/- 0.008150040986244797,0.5330684384372949
squirrel,512,20,2,0.01,0.006338047981262207,0.6487208513669462 +/- 0.002888071545974553,0.6419095482759566
crocodile,512,20,2,0.01,0.00622786283493042,0.3809112878653448 +/- 0.0046757549488129465,0.37355819701663023
